Serial	Metro	County FIPS	Mortgage Payment	Household Income	Home Value
414	0	0	$410	$50,000	$5,000
125	3	0	$310	$17,500	$12,500
482	4	0	$210	$43,000	$75,000
501	4	117	$870	$32,040	$137,500
722	4	0	$330	$38,500	$5,000
801	1	0	$150	$3,300	$45,000
912	1	0	$250	$14,000	$5,000
925	4	0	$380	$11,710	$27,500
1031	4	0	$1,300	$137,000	$137,500
1061	0	0	$250	$64,000	$45,000
1180	4	73	$610	$24,700	$75,000
1623	0	0	$390	$33,200	$45,000
1700	1	0	$260	$29,000	$5,000
1706	4	0	$410	$26,900	$112,500
1776	3	0	$370	$59,700	$65,000
1815	1	0	$530	$80,780	$95,000
1842	1	0	$550	$107,000	$85,000
1846	4	0	$730	$81,300	$187,500
1877	1	0	$190	$55,000	$5,000
1896	1	0	$330	$30,000	$75,000
1906	1	0	$530	$34,500	$95,000
1940	1	0	$250	$28,000	$32,500
2136	3	0	$300	$33,400	$22,500
2557	1	0	$360	$13,200	$65,000
2754	2	0	$300	$14,000	$32,500
2885	1	0	$390	$38,500	$85,000
2965	1	0	$280	$35,100	$27,500
2989	1	0	$400	$30,000	$22,500
3000	4	0	$850	$45,000	$137,500
3051	4	0	$430	$56,500	$65,000
3163	1	0	$200	$26,900	$22,500
3356	1	0	$490	$31,200	$65,000
3593	4	0	$1,300	$54,300	$225,000
3767	1	0	$300	$17,900	$32,500
3863	1	0	$510	$24,000	$65,000
3907	4	73	$900	$21,300	$85,000
4236	3	3	$50	$106,000	$225,000
4602	1	0	$300	$30,000	$45,000
4648	4	0	$210	$13,900	$17,500
4729	1	0	$280	$60,510	$55,000
4771	1	0	$300	$62,800	$45,000
4866	3	97	$280	$31,000	$22,500
4994	1	0	$280	$24,000	$85,000
5058	2	0	$1,600	$75,400	$625,000
5075	2	97	$600	$23,100	$65,000
5104	0	0	$300	$20,000	$225,000
5119	2	97	$700	$22,000	$112,500
5174	1	0	$120	$8,500	$12,500
5271	4	81	$190	$6,000	$17,500
5423	1	0	$520	$109,000	$65,000
5446	4	73	$460	$7,000	$55,000
5456	1	0	$400	$30,000	$12,500
5500	1	0	$500	$20,000	$45,000
5726	4	55	$380	$21,200	$37,500
5775	2	0	$310	$30,000	$45,000
5783	4	73	$250	$78,400	$17,500
5793	4	0	$270	$12,500	$22,500
5864	1	0	$290	$29,000	$5,000
5941	4	73	$320	$40,000	$75,000
6153	0	0	$200	$140,000	$350,000
6156	0	0	$330	$75,000	$5,000
6182	0	0	$200	$29,800	$45,000
6204	2	0	$640	$78,830	$137,500
6356	4	0	$630	$36,800	$37,500
6428	0	0	$300	$45,800	$75,000
6716	4	73	$310	$45,260	$27,500
6765	3	97	$640	$48,000	$112,500
6946	1	0	$330	$20,200	$45,000
6981	4	73	$350	$53,700	$75,000
7015	0	0	$320	$70,000	$22,500
7209	4	73	$350	$19,370	$45,000
7410	1	0	$700	$40,000	$95,000
7448	4	0	$150	$7,600	$55,000
7521	3	97	$530	$25,000	$37,500
7587	4	0	$270	$12,500	$17,500
7737	4	15	$410	$60,000	$32,500
7874	1	0	$260	$18,200	$12,500
7974	1	0	$290	$6,300	$45,000
8068	0	0	$230	$7,000	$37,500
8283	1	0	$250	$26,000	$5,000
8326	3	3	$250	$660	$55,000
8361	4	0	$830	$62,000	$137,500
8473	0	0	$550	$6,700	$65,000
8502	3	0	$220	$47,000	$37,500
8558	3	3	$550	$37,000	$85,000
8623	0	0	$450	$33,400	$65,000
8730	4	81	$250	$24,000	$65,000
8759	0	0	$340	$10,800	$32,500
8893	1	0	$270	$75,700	$5,000
8927	1	0	$300	$26,000	$27,500
8979	4	81	$400	$55,400	$55,000
9039	4	0	$400	$21,000	$65,000
9209	3	97	$520	$53,000	$65,000
9346	1	0	$180	$42,000	$5,000
9350	3	0	$290	$20,600	$45,000
9375	4	0	$300	$64,000	$32,500
9388	4	0	$300	$91,000	$22,500
9412	1	0	$300	$9,000	$5,000
9460	3	97	$520	$45,000	$65,000
9696	4	15	$2,600	$338,100	$350,000
9779	4	73	$640	$71,950	$112,500
9844	4	0	$310	$53,600	$45,000
10015	4	15	$590	$47,300	$75,000
10185	4	0	$330	$14,000	$32,500
10268	1	0	$260	$30,400	$22,500
10322	1	0	$300	$29,000	$12,500
10428	4	81	$340	$42,000	$5,000
10434	1	0	$200	$25,000	$32,500
10456	2	0	$300	$24,100	$37,500
10523	1	0	$250	$44,500	$85,000
10864	4	0	$390	$23,200	$65,000
10934	2	0	$240	$30,100	$37,500
11026	4	0	$220	$17,000	$17,500
11064	0	0	$680	$92,000	$95,000
11193	1	0	$270	$0	$17,500
11238	3	3	$200	$28,400	$5,000
11340	1	0	$270	$29,000	$5,000
11592	3	0	$230	$28,600	$17,500
11616	4	0	$350	$34,000	$12,500
11729	0	0	$580	$4,800	$95,000
11800	4	117	$1,700	$365,600	$625,000
11825	0	0	$380	$6,100	$37,500
