This is a comma-delimited file constructed by integrating
records from multiple sources. The variables are:
Protraction, Region, Gas, Oil, Date

Bay Marchand Area,CENTRAL140339,"93,830",1996-01-01
Bay Marchand Area,CENTRAL105069,"86,595",1996-02-01
Bay Marchand Area,Central99941,"92,827",1996-03-01
Bay Marchand Area,CENTRAL72398,"88,746",1996-04-01
Bay Marchand Area,Central74693,"67,987",1996-05-01
Bay Marchand Area,CENTRAL74251,"101,688",1996-06-01
Bay Marchand Area,CENTRAL98990,"106,530",1996-07-01
   Bay  Marchand  Area,Central120124,"106,590",1996-08-01
Bay Marchand Area,Central148798,"96,968",1996-09-01
Bay Marchand Area,CENTRAL108610,"76,220",1996-10-01
Bay Marchand Area,Central139721,"85,545",1996-11-01
Bay Marchand Area,Central124750,"91,355",1996-12-01
Bay Marchand Area,CENTRAL78324,"74,969",1997-01-01
Bay Marchand Area,CENTRAL36069,"58,508",1997-02-01
Bay Marchand Area,Central43418,"63,57O",1997-03-01
   Bay  Marchand  Area,CEntral
Bay Marchand Area,CENTRAL117987,"50,733",1997-05-01
Bay Marchand Area,Central104946,"53,950",1997-06-01
   Bay  Marchand  Area,central,,,1997-07-01
Bay Marchand Area,CENTRAL43055,"47,362",1997-08-01
Bay Marchand Area,Central20530,"39,16O",1997-09-01
Bay Marchand Area,CENTRAL25510,"40,027",1997-10-01
Bay Marchand Area,Central37900,"41,182",1997-11-01
   Bay  Marchand  Area,Central51936,"38,254",1997-12-01
Bay Marchand Area,Central76440,"64,751",1998-01-01
Bay Marchand Area,Central77503,"6O,823",1998-02-01
   Bay  Marchand  Area,central62374,"54,374",1998-03-01
   Bay  Marchand  Area,CEntral61829,"42,986"
Bay Marchand Area,CENTRAL40561,"38,625",1998-05-01
Bay Marchand Area,Central37932,"31,868",1998-06-01
Bay Marchand Area,Central35628,"33,941",1998-07-01
   Bay  Marchand  Area,central,,,1998-08-01
   Bay  Marchand  Area,CEntral
   Bay  Marchand  Area,central19222,"35,491",1998-10-01
   Bay  Marchand  Area,central25463,"27,667",1998-11-01
Bay Marchand Area,Central37502,"32,554",1998-12-01
Bay Marchand Area,Central40001,"34,472",1999-01-01
Bay Marchand Area,Central39789,"45,O6O",1999-02-01
Bay Marchand Area,Central49519,"57,752",1999-03-01
Bay Marchand Area,CENTRAL43965,"45,491",1999-04-01
   Bay  Marchand  Area,CEntral
   Bay  Marchand  Area,central42070,"31,599",1999-06-01
   Bay  Marchand  Area,central48406,"30,937",1999-07-01
   Bay  Marchand  Area,CEntral45104,"32,247"
   Bay  Marchand  Area,Central37713,"32,468",1999-09-01
   Bay  Marchand  Area,CEntral
   Bay  Marchand  Area,central31656,"22,612",1999-11-01
Bay Marchand Area,Central26026,"17,759",1999-12-01
Bay Marchand Area,Central23776,"24,158",2000-01-01
   Bay  Marchand  Area,Central19811,"19,291",2000-02-01
Bay Marchand Area,CENTRAL11989,"16,093",2000-03-01
   Bay  Marchand  Area,CEntral17020,"14,884"
   Bay  Marchand  Area,central16372,"14,986",2000-05-01
   Bay  Marchand  Area,CEntral
Bay Marchand Area,Central15492,"25,402",2000-07-01
Bay Marchand Area,Central21084,"27,673",2000-08-01
Bay Marchand Area,Central14951,"18,7O8",2000-09-01
Bay Marchand Area,Central14273,"18,274",2000-10-01
   Bay  Marchand  Area,central22995,"15,878",2000-11-01
   Bay  Marchand  Area,central,,,2000-12-01
   Bay  Marchand  Area,central16075,"17,634",2001-01-01
   Bay  Marchand  Area,central17673,"20,405",2001-02-01
   Bay  Marchand  Area,CENTRAL23126,"21,705"
Bay Marchand Area,Central21581,"16,735",2001-04-01
Bay Marchand Area,Central21300,"17,2O5",2001-05-01
   Bay  Marchand  Area,CENTRAL94585,"17,865"
Bay Marchand Area,CENTRAL97477,"16,146",2001-07-01
   Bay  Marchand  Area,central86839,"14,752",2001-08-01
   Bay  Marchand  Area,central74627,"16,569",2001-09-01
Bay Marchand Area,Central95606,"12,845",2001-10-01
   Bay  Marchand  Area,central76069,"7,837",2001-11-01
   Bay  Marchand  Area,CEntral
   Bay  Marchand  Area,central63322,"9,788",2002-01-01
   Bay  Marchand  Area,central31202,"9,892",2002-02-01
Bay Marchand Area,CENTRAL69425,"10,228",2002-03-01
   Bay  Marchand  Area,central50385,"15,757",2002-04-01
   Bay  Marchand  Area,central45771,"28,627",2002-05-01
   Bay  Marchand  Area,Central45249,"51,785",2002-06-01
