"Date","Site ID","POC","Daily Max 8-hour O3 Concentration","DAILY_AQI_VALUE","DAILY_OBS_COUNT","AQS_PARAMETER_CODE"
01/01/19,371830014,1,0.033,31,17,44201
01/02/19,371830014,1,0.027,25,17,44201
01/03/19,371830014,1,0.015,14,17,44201
01/04/19,371830014,1,0.026,24,17,44201
01/05/19,371830014,1,0.039,36,17,44201
01/06/19,371830014,1,0.034,31,17,44201
01/07/19,371830014,1,0.031,29,17,44201
01/08/19,371830014,1,0.036,33,17,44201
01/09/19,371830014,1,0.037,34,17,44201
01/10/19,371830014,1,0.029,27,17,44201
01/11/19,371830014,1,0.03,28,17,44201
01/12/19,371830014,1,0.031,29,17,44201
01/13/19,371830014,1,0.031,29,17,44201
01/14/19,371830014,1,0.031,29,17,44201
01/15/19,371830014,1,0.024,22,17,44201
01/16/19,371830014,1,0.029,27,17,44201
01/17/19,371830014,1,0.027,25,17,44201
01/18/19,371830014,1,0.029,27,17,44201
01/19/19,371830014,1,0.036,33,17,44201
01/20/19,371830014,1,0.038,35,17,44201
01/21/19,371830014,1,0.04,37,17,44201
01/22/19,371830014,1,0.035,32,17,44201
01/23/19,371830014,1,0.038,35,17,44201
01/24/19,371830014,1,0.033,31,17,44201
01/25/19,371830014,1,0.036,33,17,44201
01/26/19,371830014,1,0.039,36,17,44201
01/27/19,371830014,1,0.036,33,17,44201
01/28/19,371830014,1,0.036,33,17,44201
01/29/19,371830014,1,0.038,35,17,44201
01/30/19,371830014,1,0.037,34,17,44201
01/31/19,371830014,1,0.038,35,17,44201
02/01/19,371830014,1,0.04,37,17,44201
02/02/19,371830014,1,0.031,29,17,44201
02/03/19,371830014,1,0.035,32,17,44201
02/04/19,371830014,1,0.046,43,17,44201
02/05/19,371830014,1,0.037,34,17,44201
02/06/19,371830014,1,0.038,35,17,44201
02/07/19,371830014,1,0.033,31,17,44201
02/08/19,371830014,1,0.043,40,17,44201
02/09/19,371830014,1,0.039,36,17,44201
02/10/19,371830014,1,0.037,34,17,44201
02/11/19,371830014,1,0.023,21,17,44201
02/12/19,371830014,1,0.023,21,17,44201
02/13/19,371830014,1,0.045,42,17,44201
02/14/19,371830014,1,0.04,37,17,44201
02/15/19,371830014,1,0.044,41,17,44201
02/16/19,371830014,1,0.038,35,17,44201
02/17/19,371830014,1,0.031,29,17,44201
02/18/19,371830014,1,0.038,35,17,44201
02/19/19,371830014,1,0.036,33,17,44201
02/20/19,371830014,1,0.034,31,17,44201
02/21/19,371830014,1,0.016,15,17,44201
02/22/19,371830014,1,0.038,35,17,44201
02/23/19,371830014,1,0.034,31,17,44201
02/24/19,371830014,1,0.045,42,17,44201
02/25/19,371830014,1,0.047,44,17,44201
02/26/19,371830014,1,0.044,41,17,44201
02/27/19,371830014,1,0.023,21,17,44201
02/28/19,371830014,1,0.037,34,17,44201
03/01/19,371830014,1,0.027,25,17,44201
03/02/19,371830014,1,0.036,33,17,44201
03/03/19,371830014,1,0.031,29,17,44201
03/04/19,371830014,1,0.043,40,17,44201
03/05/19,371830014,1,0.039,36,17,44201
03/06/19,371830014,1,0.043,40,17,44201
03/07/19,371830014,1,0.043,40,17,44201
03/08/19,371830014,1,0.038,35,17,44201
03/09/19,371830014,1,0.039,36,17,44201
03/10/19,371830014,1,0.032,30,17,44201
03/11/19,371830014,1,0.046,43,17,44201
03/12/19,371830014,1,0.049,45,17,44201
03/13/19,371830014,1,0.051,47,17,44201
03/14/19,371830014,1,0.054,50,17,44201
03/15/19,371830014,1,0.04,37,17,44201
03/16/19,371830014,1,0.048,44,17,44201
03/17/19,371830014,1,0.05,46,17,44201
03/18/19,371830014,1,0.05,46,17,44201
03/19/19,371830014,1,0.05,46,17,44201
03/20/19,371830014,1,0.045,42,17,44201
03/21/19,371830014,1,0.049,45,17,44201
03/22/19,371830014,1,0.048,44,17,44201
03/23/19,371830014,1,0.052,48,17,44201
03/24/19,371830014,1,0.059,64,17,44201
03/25/19,371830014,1,0.052,48,17,44201
03/26/19,371830014,1,0.047,44,17,44201
03/27/19,371830014,1,0.051,47,17,44201
03/28/19,371830014,1,0.053,49,17,44201
03/29/19,371830014,1,0.059,64,17,44201
03/30/19,371830014,1,0.054,50,17,44201
03/31/19,371830014,1,0.046,43,17,44201
04/01/19,371830014,1,0.048,44,17,44201
04/02/19,371830014,1,0.037,34,17,44201
04/03/19,371830014,1,0.056,54,17,44201
04/04/19,371830014,1,0.061,71,17,44201
