Region Oil Gas
Western 129 1288551
Central 2971 15097434
Central 2369612 28391139
Western 175 493586
Central 19594 7553
Central 5777724 25084173
Western 297 1521388
Western 19597 6307432
Central 21934 17263
Western 2212745 12753322
Western 106924 18206829
Central 982168 7981286
Central 2621571 22842208
Central 2501145 27233392
Central 2163036 23784863
Western 184276 1684795
Central 1076917 26224615
Central 10540870 32685140
Western 640 1490041
Central 7048570 17010052
Central 421186 31167430
Central 1052085 12800740
Central 1548322 11871161
Western 3155227 17088869
Western 18130 11841564
Central 2249149 31088420
Central 2706194 22078983
Western 563020 1358478
Central 1025725 15169517
Central 66665 411809
Western 1096 143586
Central 15757 50385
Central 44732 71378
Western 25346 8261295
Central 172368 1904663
Central 651457 19112077
Western 3361158 17628394
Western 43306 10367823
Central 65 457804
Western 825822 34973923
Western 622 172217
Central 76 393366
Central 1990090 36491865
Western 21665 14173448
Central 14772238 53774634
Central 3119294 24602238
Central 1736190 13455949
Central 6492200 28660111
Western 120743 19631624
Central 260017 4071046
Central 1749274 9397846
Central 1449408 11549771
Western 6639 2696501
Western 1469 1722129
Central 2640893 20592424
Central 1055758 8854216
Central 235504 3904510
Central 2198164 15323912
Central 625570 36983051
Western 4459044 25845670
Central 2102728 17494300
Central 3738210 5051381
Western 774947 26627255
Western 1348604 18478580
Central 22983 441536
Western 162383 3610812
Central 1961219 3849373
Central 4085996 32199942
Central 79478 381570
Western 743662 25910234
Western 61035 13697626
Central 2437364 16563994
Central 1063172 12780259
Central 1696 10229171
Central 1612121 3411916
Central 1617477 12512023
Central 799416 4562802
Central 97798 563242
Central 1875145 2700347
Western 2163041 23835593
Central 1548417 10706881
Central 3077530 4469242
Western 12980 19684
Western 500 119576
Central 273 6334552
Western 12952 1945743
Central 6289091 28777752
Central 799735 23121170
Central 2561 13852598
Central 301231 22147724
Western 21509 6395937
Central 21119 352691
Central 931628 5696477
Central 1082715 6482403
Western 5334 2366094
Central 995929 13015732
Central 435073 34985599
Central 3462824 6612205
Central 1246862 27283446
Central 50836 418237
Western 17081 7235576
Western 147 13984
Central 2017751 22199184
Central 2250204 10878317
Central 2205498 19711969
Central 2604830 18196235
Central 1142003 18426240
Central 1009825 8989605
Western 10620 8877553
Western 780922 25951296
Western 21383 7025868
Central 800575 23444058
Central 21 599703
Central 10295763 28178992
Central 1864680 3385590
Central 1795493 13983618
Western 90347 20443088
Central 1451031 14098911
Central 2818219 5089658
Central 2219916 20685041
Central 807249 9037925
Central 404250 11271527
Western 26031 7123882
Central 3531172 41591661
Central 341104 4414425
Western 88551 14872009
Western 2668850 14235083
Western 4518243 25380447
Western 101 38422
Central 106515 1396865
Central 941181 8209498
Central 1910075 12590123
Western 4609 1990934
Central 3047125 36578822
Central 1337559 2060021
Central 3754803 34446362
Central 974223 13153345
Central 1994705 2953645
Western 318 1492925
Western 107871 18703528
Western 466266 1087419
Central 5612786 19827908
Central 82355 544046
Western 122682 2868804
Central 599998 7154314
Central 797803 7717001
Central 1080220 18563392
Central 1116276 23954147
Central 10255410 38200013
Central 34 1086606
Western 68871 1843622
Western 2266381 22358086
Central 78635 928566
Central 1203001 19217601
Central 1262141 15538094
Central 1470957 9220832
Western 25788 10614602
Western 507490 1075682
Central 90057 273331
Central 60793 311543
Central 83 1220226
Western 762 1617091
Western 113 1114107
Central 144387 1232063
Central 221995 2245313
Central 26 1026194
Central 558045 6882357
Central 1711803 12154466
Central 15950899 56320453
Western 175823 3670531
Central 183664 2752352
Central 5130703 12707549
Central 324178 33523103
Central 1546 15634211
Central 7572526 20414455
Central 35608 390087
Central 3668245 44557787
Central 433089 10523916
Central 17909 319053
Central 1585534 30004707
Central 69478 742502
Central 1148219 17271023
Western 108071 20121328
Central 2281984 24407797
Western 1096903 37245617
Central 2141470 14113365
Central 2477055 11089716
Central 979957 7351124
Central 16430 436339
Western 1633043 1686397
Western 105060 20729666
Western 16558 6957440
Western 52477 875905
Western 436 107931
Central 921717 9072756
Central 22084 556363
Central 189441 3107391
Western 382 1853167
