Region Protraction Oil Gas
Western	North Padre Island Area	129	1288551
Central	Mobile	2971	15097434
Central	South Timbalier Area	92827	28391139
Western	North Padre Island Area	175	493586
Central	Bay Marchand Area	19594	7553
Central	Mississippi Canyon	5777724	25084173
Western	North Padre Island Area	297	1521388
Western	Mustang Island Area	19597	6307432
Central	Bay Marchand Area	21934	17263
Western	Garden Banks	2212745	12753322
Western	Matagorda Island Area	106924	18206829
Central	Grand Isle Area	982168	7981286
Central	Viosca Knoll	2621571	22842208
Central	Eugene Island Area	2501145	27233392
Central	Main Pass Area	2163036	23784863
Western	East Breaks	184276	1684795
Central	Vermilion Area	1076917	26224615
Central	Mississippi Canyon	10540870	32685140
Western	North Padre Island Area	640	1490041
Central	Green Canyon	7048570	17010052
Central	West Cameron Area	421186	31167430
Central	Vermilion Area	1052085	12800740
Central	South Pass Area	1548322	11871161
Western	Garden Banks	3155227	17088869
Western	Brazos Area	18130	11841564
Central	South Timbalier Area	2249149	31088420
Central	Ship Shoal Area	2706194	22078983
Western	Alaminos Canyon	563020	1358478
Central	Vermilion Area	1025725	15169517
Central	Breton Sound Area	66665	411809
Western	Sabine Pass Area	1096	143586
Central	Bay Marchand Area	15757	50385
Central	Bay Marchand Area	44732	71378
Western	Brazos Area	25346	8261295
Central	South Pelto Area	172368	1904663
Central	East Cameron Area	651457	19112077
Western	Garden Banks	3361158	17628394
Western	Matagorda Island Area	43306	10367823
Central	Chandeleur Area	65	457804
Western	High Island Area	825822	34973923
Western	Sabine Pass Area	622	172217
Central	Chandeleur Area	76	393366
Central	South Marsh Island Area	1990090	36491865
Western	Brazos Area	21665	14173448
Central	Mississippi Canyon	14772238	53774634
Central	Ship Shoal Area	3119294	24602238
Central	Ship Shoal Area	1736190	13455949
Central	Mississippi Canyon	6492200	28660111
Western	Matagorda Island Area	120743	19631624
Central	South Pelto Area	260017	4071046
Central	Green Canyon	1749274	9397846
Central	Ship Shoal Area	1449408	11549771
Western	Mustang Island Area	6639	2696501
Western	Mustang Island Area	1469	1722129
Central	Ship Shoal Area	2640893	20592424
Central	Grand Isle Area	1055758	8854216
Central	South Pelto Area	235504	3904510
Central	Main Pass Area	2198164	15323912
Central	West Cameron Area	625570	36983051
Western	Garden Banks	4459044	25845670
Central	Main Pass Area	2102728	17494300
Central	Ewing Bank	3738210	5051381
Western	High Island Area	774947	26627255
Western	East Breaks	1348604	18478580
Central	Sabine Pass Area	22983	441536
Western	Galveston Area	162383	3610812
Central	Ewing Bank	1961219	3849373
Central	Viosca Knoll	4085996	32199942
Central	Breton Sound Area	79478	381570
Western	High Island Area	743662	25910234
Western	Matagorda Island Area	61035	13697626
Central	South Timbalier Area	2437364	16563994
Central	Vermilion Area	1063172	12780259
Central	Mobile	1696	10229171
Central	Ewing Bank	1612121	3411916
Central	West Delta Area	1617477	12512023
Central	South Pass Area	799416	4562802
Central	Breton Sound Area	97798	563242
Central	Ewing Bank	1875145	2700347
Western	East Breaks	2163041	23835593
Central	South Timbalier Area	1548417	10706881
Central	Ewing Bank	3077530	4469242
Western	Alaminos Canyon	12980	19684
Western	Sabine Pass Area	500	119576
Central	Mobile	273	6334552
Western	Mustang Island Area	12952	1945743
Central	Mississippi Canyon	6289091	28777752
Central	East Cameron Area	799735	23121170
Central	Mobile	2561	13852598
Central	West Cameron Area	301231	22147724
Western	Matagorda Island Area	21509	6395937
Central	Sabine Pass Area	21119	352691
Central	West Delta Area	931628	5696477
Central	West Delta Area	1082715	6482403
Western	Mustang Island Area	5334	2366094
Central	Eugene Island Area	995929	13015732
Central	West Cameron Area	435073	34985599
Central	Ewing Bank	3462824	6612205
Central	Vermilion Area	1246862	27283446
Central	Breton Sound Area	50836	418237
Western	Mustang Island Area	17081	7235576
Western	Sabine Pass Area	147	13984
Central	South Timbalier Area	2017751	22199184
Central	Main Pass Area	2250204	10878317
Central	Ship Shoal Area	2205498	19711969
Central	Viosca Knoll	2604830	18196235
Central	Vermilion Area	1142003	18426240
Central	Ship Shoal Area	1009825	8989605
Western	Brazos Area	10620	8877553
Western	High Island Area	780922	25951296
Western	Mustang Island Area	21383	7025868
Central	East Cameron Area	800575	23444058
Central	Chandeleur Area	21	599703
Central	Mississippi Canyon	10295763	28178992
Central	Ewing Bank	1864680	3385590
Central	West Delta Area	1795493	13983618
Western	Matagorda Island Area	90347	20443088
Central	Ship Shoal Area	1451031	14098911
Central	Ewing Bank	2818219	5089658
Central	South Timbalier Area	2219916	20685041
Central	South Pass Area	807249	9037925
Central	East Cameron Area	404250	11271527
Western	Brazos Area	26031	7123882
Central	Eugene Island Area	3531172	41591661
Central	South Pelto Area	341104	4414425
Western	Matagorda Island Area	88551	14872009
Western	Garden Banks	2668850	14235083
Western	Garden Banks	4518243	25380447
Western	Sabine Pass Area	101	38422
Central	Breton Sound Area	106515	1396865
Central	Grand Isle Area	941181	8209498
Central	West Delta Area	1910075	12590123
Western	Mustang Island Area	4609	1990934
Central	Eugene Island Area	3047125	36578822
Central	Ewing Bank	1337559	2060021
Central	Viosca Knoll	3754803	34446362
Central	Vermilion Area	974223	13153345
Central	Ewing Bank	1994705	2953645
Western	North Padre Island Area	318	1492925
Western	Matagorda Island Area	107871	18703528
Western	Alaminos Canyon	466266	1087419
Central	Mississippi Canyon	5612786	19827908
Central	Breton Sound Area	82355	544046
Western	Galveston Area	122682	2868804
Central	Grand Isle Area	599998	7154314
Central	Viosca Knoll	797803	7717001
Central	Vermilion Area	1080220	18563392
Central	Vermilion Area	1116276	23954147
Central	Mississippi Canyon	10255410	38200013
Central	Chandeleur Area	34	1086606
Western	Mustang Island Area	68871	1843622
Western	East Breaks	2266381	22358086
Central	Breton Sound Area	78635	928566
Central	Vermilion Area	1203001	19217601
Central	Eugene Island Area	1262141	15538094
Central	Green Canyon	1470957	9220832
Western	Mustang Island Area	25788	10614602
Western	Alaminos Canyon	507490	1075682
Central	Breton Sound Area	90057	273331
Central	Breton Sound Area	60793	311543
Central	Chandeleur Area	83	1220226
